PartNo. 	 DateTime. 	 Clamp. 	 Main. 	 Top. 	 Bottom. 
62 	 8/28/20267:24:35 PM 	 25.840673 	 59.472770 	 17.350323 	 17.950427 	 1 
63 	 8/28/20267:24:35 PM 	 25.581890 	 59.442805 	 17.754601 	 17.856433 	 1 
64 	 8/28/20267:24:35 PM 	 28.439178 	 59.436012 	 17.619442 	 17.865606 	 0 
65 	 8/28/20267:24:35 PM 	 31.445677 	 59.480510 	 17.514303 	 17.806478 	 0 
66 	 8/28/20267:24:35 PM 	 27.774450 	 59.527114 	 17.355067 	 17.916499 	 0 
67 	 8/28/20267:24:35 PM 	 0.000000 	 59.460858 	 17.743373 	 17.875102 	 0 
68 	 8/28/20267:24:35 PM 	 25.021221 	 59.534321 	 17.755287 	 17.803240 	 1 
69 	 8/28/20267:24:36 PM 	 24.920975 	 59.522485 	 17.784216 	 17.996601 	 1 
70 	 8/28/20267:24:36 PM 	 26.639982 	 59.638898 	 17.524493 	 17.840490 	 0 
71 	 8/28/20267:24:36 PM 	 26.428673 	 59.417077 	 17.930848 	 17.838075 	 0 
72 	 8/28/20267:24:36 PM 	 0.000000 	 59.472010 	 17.588979 	 17.811615 	 0 
73 	 8/28/20267:24:36 PM 	 25.350939 	 59.498539 	 17.621030 	 17.838441 	 1 
74 	 8/28/20267:24:36 PM 	 25.437662 	 59.621482 	 17.469921 	 17.765648 	 1 
75 	 8/28/20267:24:36 PM 	 28.361599 	 59.502909 	 17.666096 	 17.747159 	 0 
76 	 8/28/20267:24:36 PM 	 0.000000 	 59.445854 	 17.673897 	 17.896674 	 0 
77 	 8/28/20267:24:36 PM 	 25.255680 	 59.420536 	 17.832305 	 18.025432 	 0 
78 	 8/28/20267:24:36 PM 	 24.672480 	 59.503860 	 17.297718 	 17.682748 	 1 
79 	 8/28/20267:24:36 PM 	 25.840673 	 59.472770 	 17.350323 	 17.950427 	 1 
80 	 8/28/20267:24:36 PM 	 25.581890 	 59.442805 	 17.754601 	 17.856433 	 1 
81 	 8/28/20267:24:36 PM 	 28.439178 	 59.436012 	 17.619442 	 17.865606 	 0 
82 	 8/28/20267:24:36 PM 	 31.445677 	 59.480510 	 17.514303 	 17.806478 	 0 
83 	 8/28/20267:24:36 PM 	 27.774450 	 59.527114 	 17.355067 	 17.916499 	 0 
84 	 8/28/20267:24:36 PM 	 0.000000 	 59.460858 	 17.743373 	 17.875102 	 0 
85 	 8/28/20267:24:37 PM 	 25.021221 	 59.534321 	 17.755287 	 17.803240 	 1 
86 	 8/28/20267:24:37 PM 	 24.920975 	 59.522485 	 17.784216 	 17.996601 	 1 
87 	 8/28/20267:24:37 PM 	 26.639982 	 59.638898 	 17.524493 	 17.840490 	 0 
88 	 8/28/20267:24:37 PM 	 26.428673 	 59.417077 	 17.930848 	 17.838075 	 0 
89 	 8/28/20267:24:37 PM 	 0.000000 	 59.472010 	 17.588979 	 17.811615 	 0 
90 	 8/28/20267:24:37 PM 	 25.350939 	 59.498539 	 17.621030 	 17.838441 	 1 
91 	 8/28/20267:24:37 PM 	 25.437662 	 59.621482 	 17.469921 	 17.765648 	 1 
92 	 8/28/20267:24:37 PM 	 28.361599 	 59.502909 	 17.666096 	 17.747159 	 0 
93 	 8/28/20267:24:37 PM 	 0.000000 	 59.445854 	 17.673897 	 17.896674 	 0 
94 	 8/28/20267:24:37 PM 	 25.255680 	 59.420536 	 17.832305 	 18.025432 	 0 
95 	 8/28/20267:24:37 PM 	 24.672480 	 59.503860 	 17.297718 	 17.682748 	 1 
96 	 8/28/20267:24:37 PM 	 25.840673 	 59.472770 	 17.350323 	 17.950427 	 1 
97 	 8/28/20267:24:37 PM 	 25.581890 	 59.442805 	 17.754601 	 17.856433 	 1 
98 	 8/28/20267:24:37 PM 	 28.439178 	 59.436012 	 17.619442 	 17.865606 	 0 
99 	 8/28/20267:24:37 PM 	 31.445677 	 59.480510 	 17.514303 	 17.806478 	 0 
100 	 8/28/20267:24:38 PM 	 27.774450 	 59.527114 	 17.355067 	 17.916499 	 0 
